id,user_id,fragment_id,transcription_id,x,y,character,diacritic,custom,created_at,updated_at,temp_id
193621,151548,134756,51024,378,1260,Χ,,0,2011-07-26 15:11:32,2011-07-26 15:11:32,TMP1311693089286
193622,151548,134756,51024,384,1265,\N,\N,0,2011-07-26 15:11:32,2011-07-26 15:11:32,TMP1311693090174
193740,151548,134756,51024,428,1267,Ε,,0,2011-07-26 15:11:52,2011-07-26 15:11:52,TMP1311693101814
193835,151548,134756,51024,461,1262,Ϲ,,0,2011-07-26 15:12:12,2011-07-26 15:12:12,TMP1311693114255
193846,151548,134756,51024,502,1265,Ι,,0,2011-07-26 15:12:13,2011-07-26 15:12:13,TMP1311693124442
193850,151548,134756,51024,537,1266,Λ,,0,2011-07-26 15:12:14,2011-07-26 15:12:14,TMP1311693131427
193966,151548,134756,51024,578,1262,Α,,0,2011-07-26 15:12:33,2011-07-26 15:12:33,TMP1311693134251
193967,151548,134756,51024,632,1259,Μ,,0,2011-07-26 15:12:33,2011-07-26 15:12:33,TMP1311693141371
193968,151548,134756,51024,685,1261,Π,,0,2011-07-26 15:12:33,2011-07-26 15:12:33,TMP1311693148313
194062,151548,134756,51024,724,1260,Ο,,0,2011-07-26 15:12:50,2011-07-26 15:12:50,TMP1311693155091
194063,151548,134756,51024,769,1265,Μ,,0,2011-07-26 15:12:50,2011-07-26 15:12:50,TMP1311693156810
194064,151548,134756,51024,811,1248,Ε,,0,2011-07-26 15:12:50,2011-07-26 15:12:50,TMP1311693161483
535671,158916,134756,150005,381,215,Θ,,0,2011-07-26 23:46:14,2011-07-26 23:46:14,TMP1311723965227
535672,158916,134756,150005,428,204,Η,,0,2011-07-26 23:46:14,2011-07-26 23:46:14,TMP1311723971619
535864,158916,134756,150005,471,197,Ν,,0,2011-07-26 23:46:35,2011-07-26 23:46:35,TMP1311723974987
535865,158916,134756,150005,510,193,Α,,0,2011-07-26 23:46:35,2011-07-26 23:46:35,TMP1311723976979
535866,158916,134756,150005,704,180,Ν,,0,2011-07-26 23:46:35,2011-07-26 23:46:35,TMP1311723984219
535867,158916,134756,150005,736,171,Ο,,0,2011-07-26 23:46:35,2011-07-26 23:46:35,TMP1311723986171
535868,158916,134756,150005,699,112,Π,,0,2011-07-26 23:46:35,2011-07-26 23:46:35,TMP1311723989724
536067,158916,134756,150005,435,270,Ο,,0,2011-07-26 23:46:54,2011-07-26 23:46:54,TMP1311723999316
536068,158916,134756,150005,473,263,Γ,,0,2011-07-26 23:46:54,2011-07-26 23:46:54,TMP1311724001948
536069,158916,134756,150005,519,252,Π,,0,2011-07-26 23:46:54,2011-07-26 23:46:54,TMP1311724008196
536070,158916,134756,150005,568,249,Α,,0,2011-07-26 23:46:54,2011-07-26 23:46:54,TMP1311724011436
536272,158916,134756,150005,524,313,Η,,0,2011-07-26 23:47:14,2011-07-26 23:47:14,TMP1311724020604
536273,158916,134756,150005,575,306,Ν,,0,2011-07-26 23:47:14,2011-07-26 23:47:14,TMP1311724024676
536274,158916,134756,150005,488,380,Ν,,0,2011-07-26 23:47:14,2011-07-26 23:47:14,TMP1311724033621
536443,158916,134756,150005,534,372,Ο,,0,2011-07-26 23:47:34,2011-07-26 23:47:34,TMP1311724035204
536444,158916,134756,150005,580,432,Ν,,0,2011-07-26 23:47:34,2011-07-26 23:47:34,TMP1311724039725
536445,158916,134756,150005,617,424,Ε,,0,2011-07-26 23:47:34,2011-07-26 23:47:34,TMP1311724041845
536446,158916,134756,150005,781,410,Λ,,0,2011-07-26 23:47:34,2011-07-26 23:47:34,TMP1311724045181
536588,158916,134756,150005,493,506,Μ,,0,2011-07-26 23:47:55,2011-07-26 23:47:55,TMP1311724058805
536589,158916,134756,150005,537,499,Ε,,0,2011-07-26 23:47:55,2011-07-26 23:47:55,TMP1311724061437
536590,158916,134756,150005,582,486,Ν,,0,2011-07-26 23:47:55,2011-07-26 23:47:55,TMP1311724062501
536591,158916,134756,150005,488,571,Ν,,0,2011-07-26 23:47:55,2011-07-26 23:47:55,TMP1311724069741
536745,158916,134756,150005,636,548,Ο,,0,2011-07-26 23:48:14,2011-07-26 23:48:14,TMP1311724077285
536746,158916,134756,150005,678,545,Τ,,0,2011-07-26 23:48:14,2011-07-26 23:48:14,TMP1311724079350
536747,158916,134756,150005,717,541,Λ,,0,2011-07-26 23:48:14,2011-07-26 23:48:14,TMP1311724081966
536748,158916,134756,150005,760,536,Λ,,0,2011-07-26 23:48:14,2011-07-26 23:48:14,TMP1311724084294
536749,158916,134756,150005,808,528,Κ,,0,2011-07-26 23:48:14,2011-07-26 23:48:14,TMP1311724086510
536902,158916,134756,150005,399,643,Τ,,0,2011-07-26 23:48:34,2011-07-26 23:48:34,TMP1311724102462
536903,158916,134756,150005,448,636,Ο,,0,2011-07-26 23:48:34,2011-07-26 23:48:34,TMP1311724104382
536904,158916,134756,150005,495,632,Ν,,0,2011-07-26 23:48:34,2011-07-26 23:48:34,TMP1311724105902
536905,158916,134756,150005,664,607,Ε,,0,2011-07-26 23:48:35,2011-07-26 23:48:35,TMP1311724109470
536906,158916,134756,150005,697,608,Ι,,0,2011-07-26 23:48:35,2011-07-26 23:48:35,TMP1311724113078
537071,158916,134756,150005,734,603,Π,,0,2011-07-26 23:48:54,2011-07-26 23:48:54,TMP1311724114894
537072,158916,134756,150005,784,602,Ι,,0,2011-07-26 23:48:54,2011-07-26 23:48:54,TMP1311724119959
537073,158916,134756,150005,813,601,Δ,,0,2011-07-26 23:48:54,2011-07-26 23:48:54,TMP1311724122302
537074,158916,134756,150005,366,711,Κ,,0,2011-07-26 23:48:54,2011-07-26 23:48:54,TMP1311724126646
537075,158916,134756,150005,411,712,Ο,,0,2011-07-26 23:48:54,2011-07-26 23:48:54,TMP1311724128543
537076,158916,134756,150005,596,683,Γ,,0,2011-07-26 23:48:54,2011-07-26 23:48:54,TMP1311724133160
537246,158916,134756,150005,642,677,Ν,,0,2011-07-26 23:49:14,2011-07-26 23:49:14,TMP1311724137191
537247,158916,134756,150005,682,668,Κ,,0,2011-07-26 23:49:14,2011-07-26 23:49:14,TMP1311724139135
537248,158916,134756,150005,730,669,Λ,,0,2011-07-26 23:49:14,2011-07-26 23:49:14,TMP1311724141007
537249,158916,134756,150005,768,665,Α,,0,2011-07-26 23:49:14,2011-07-26 23:49:14,TMP1311724152287
537250,158916,134756,150005,808,662,Λ,,0,2011-07-26 23:49:14,2011-07-26 23:49:14,TMP1311724154063
537402,158916,134756,150005,854,656,Α,,0,2011-07-26 23:49:34,2011-07-26 23:49:34,TMP1311724156364
537403,158916,134756,150005,384,779,Δ,,0,2011-07-26 23:49:34,2011-07-26 23:49:34,TMP1311724161319
537404,158916,134756,150005,432,769,Η,,0,2011-07-26 23:49:34,2011-07-26 23:49:34,TMP1311724163352
537405,158916,134756,150005,502,761,Ε,,0,2011-07-26 23:49:34,2011-07-26 23:49:34,TMP1311724167784
537406,158916,134756,150005,540,752,Κ,,0,2011-07-26 23:49:34,2011-07-26 23:49:34,TMP1311724170608
537407,158916,134756,150005,592,744,Ο,,0,2011-07-26 23:49:34,2011-07-26 23:49:34,TMP1311724172624
537583,158916,134756,150005,683,733,Φ,,0,2011-07-26 23:49:54,2011-07-26 23:49:54,TMP1311724174864
537584,158916,134756,150005,740,731,Α,,0,2011-07-26 23:49:54,2011-07-26 23:49:54,TMP1311724178800
537585,158916,134756,150005,788,720,Π,,0,2011-07-26 23:49:54,2011-07-26 23:49:54,TMP1311724182736
537586,158916,134756,150005,840,721,Ο,,0,2011-07-26 23:49:54,2011-07-26 23:49:54,TMP1311724185800
537587,158916,134756,150005,879,718,Δ,,0,2011-07-26 23:49:54,2011-07-26 23:49:54,TMP1311724187736
538033,158916,134756,150005,536,816,Π,,0,2011-07-26 23:50:54,2011-07-26 23:50:54,TMP1311724251218
538142,158916,134756,150005,572,809,Α,,0,2011-07-26 23:51:15,2011-07-26 23:51:15,TMP1311724259962
538143,158916,134756,150005,603,800,Π,,0,2011-07-26 23:51:15,2011-07-26 23:51:15,TMP1311724261490
538144,158916,134756,150005,644,800,Α,,0,2011-07-26 23:51:15,2011-07-26 23:51:15,TMP1311724263778
538145,158916,134756,150005,680,796,Κ,,0,2011-07-26 23:51:15,2011-07-26 23:51:15,TMP1311724264762
538146,158916,134756,150005,724,788,Α,,0,2011-07-26 23:51:15,2011-07-26 23:51:15,TMP1311724266570
538147,158916,134756,150005,768,784,Λ,,0,2011-07-26 23:51:15,2011-07-26 23:51:15,TMP1311724267802
538148,158916,134756,150005,808,783,Λ,,0,2011-07-26 23:51:15,2011-07-26 23:51:15,TMP1311724270378
538295,158916,134756,150005,373,890,Η,,0,2011-07-26 23:51:34,2011-07-26 23:51:34,TMP1311724275794
538296,158916,134756,150005,500,815,Ι,,0,2011-07-26 23:51:34,2011-07-26 23:51:34,TMP1311724282114
538297,158916,134756,150005,426,890,Π,,0,2011-07-26 23:51:35,2011-07-26 23:51:35,TMP1311724287498
538298,158916,134756,150005,541,874,Ο,,0,2011-07-26 23:51:35,2011-07-26 23:51:35,TMP1311724292867
538456,158916,134756,150005,624,860,Ο,,0,2011-07-26 23:51:54,2011-07-26 23:51:54,TMP1311724295102
538458,158916,134756,150005,670,856,Γ,,0,2011-07-26 23:51:54,2011-07-26 23:51:54,TMP1311724296572
538460,158916,134756,150005,712,850,Λ,,0,2011-07-26 23:51:54,2011-07-26 23:51:54,TMP1311724300267
538461,158916,134756,150005,748,850,Ο,,0,2011-07-26 23:51:54,2011-07-26 23:51:54,TMP1311724302235
538462,158916,134756,150005,785,843,Χ,,0,2011-07-26 23:51:54,2011-07-26 23:51:54,TMP1311724303867
538463,158916,134756,150005,828,843,Ι,,0,2011-07-26 23:51:55,2011-07-26 23:51:55,TMP1311724305611
538464,158916,134756,150005,860,842,Ο,,0,2011-07-26 23:51:55,2011-07-26 23:51:55,TMP1311724307475
538465,158916,134756,150005,902,842,Ν,,0,2011-07-26 23:51:55,2011-07-26 23:51:55,TMP1311724309259
538615,158916,134756,150005,943,838,Ε,,0,2011-07-26 23:52:15,2011-07-26 23:52:15,TMP1311724317147
538616,158916,134756,150005,984,835,Ε,,0,2011-07-26 23:52:15,2011-07-26 23:52:15,TMP1311724325004
538904,158916,134756,150005,387,952,Μ,,0,2011-07-26 23:52:54,2011-07-26 23:52:54,TMP1311724355676
538905,158916,134756,150005,515,942,Ο,,0,2011-07-26 23:52:55,2011-07-26 23:52:55,TMP1311724363773
538906,158916,134756,150005,556,940,Γ,,0,2011-07-26 23:52:55,2011-07-26 23:52:55,TMP1311724372133
539082,158916,134756,150005,603,931,Π,,0,2011-07-26 23:53:15,2011-07-26 23:53:15,TMP1311724377461
539084,158916,134756,150005,642,926,Ε,,0,2011-07-26 23:53:15,2011-07-26 23:53:15,TMP1311724379341
539085,158916,134756,150005,692,923,Λ,,0,2011-07-26 23:53:15,2011-07-26 23:53:15,TMP1311724381949
539086,158916,134756,150005,724,922,Ε,,0,2011-07-26 23:53:15,2011-07-26 23:53:15,TMP1311724383765
539087,158916,134756,150005,768,917,Κ,,0,2011-07-26 23:53:15,2011-07-26 23:53:15,TMP1311724385757
539088,158916,134756,150005,816,911,Γ,,0,2011-07-26 23:53:15,2011-07-26 23:53:15,TMP1311724387573
539259,158916,134756,150005,858,915,Ν,,0,2011-07-26 23:53:34,2011-07-26 23:53:34,TMP1311724397573
539260,158916,134756,150005,908,909,Β,,0,2011-07-26 23:53:34,2011-07-26 23:53:34,TMP1311724399565
539261,158916,134756,150005,943,906,Π,,0,2011-07-26 23:53:34,2011-07-26 23:53:34,TMP1311724401541
539262,158916,134756,150005,979,903,Ε,,0,2011-07-26 23:53:35,2011-07-26 23:53:35,TMP1311724404725
539263,158916,134756,150005,387,1010,Τ,,0,2011-07-26 23:53:35,2011-07-26 23:53:35,TMP1311724412437
539264,158916,134756,150005,427,1008,Ο,,0,2011-07-26 23:53:35,2011-07-26 23:53:35,TMP1311724414406
